Unnamed: 0,Issuer.Ticker,Issuer.Name,Sales...1.Yr.Growth,Profit.Margin,Return.on.Assets,Offer.Size..M.,Shares.Outstanding..M.,Offer.Price,Offer.To.1st.Close,Market.Cap.at.Offer..M.,Trade.Date..US.,cusip,Cash.Flow.per.Share,Instit.Owner....Shares.Out.,Instit.Owner..Shares.Held.,Month.Date,Month.of.Quarter,Real.GDP.Per.Capita,OECD.Leading.Indicator,Interest.Rate,Seasonally.Adjusted.Unemployment.Rate,CPI.Growth.Rate,Filing.Term.Price.Range,Priced.Range,Industry.Sector,Industry.Group,Industry.Subgroup,Underpriced,price_1yr,X1_year_return,X1_year_up,actual_date_1yr,days_from_ipo,status,1_Year_excess_return,1_day_excess_return
1,AAOI,Applied Optoelectronics Inc,-9.8,-25.6,-13.8,41.4,13.1496,10.0,-0.400000006,131.5,9/26/13,03823U102,-0.4,43.5371,12418400.0,9/1/13,7/1/13,52284,100.6503359,0.75,7.388513748,0.116300449,13 - 15,Priced Below Range,8,31,49,0,16.81,68.1,1,2014-09-26,365,success,50.4609060477433,-0.748542568208176
2,AAT,American Assets Trust Inc,9.0,9.7,1.7,648.312,36.66,20.5,3.658536673,751.53,1/13/11,24013104,2.8,92.4327,55947800.0,1/1/11,1/1/11,50646,100.2239092,0.75,9.228517755,0.476323005,19 - 21,Priced Within Range,3,3,50,1,12.71,-38.02,0,2012-01-13,365,success,-38.6992523471735,3.82961128393029
3,ABG,Asbury Automotive Group Inc,37.9,5.4,13.7,127.05,34.0,16.5,1.818181872,561.0,3/14/02,43436104,58.4,113.082,25028500.0,3/1/02,1/1/02,46683,99.42674768,1.25,5.882196236,0.562429696,15 - 17,Priced Within Range,5,17,51,1,5.52,-66.52,0,2003-03-14,365,success,-36.2651931588995,1.90915632208026
4,ABNB,Airbnb Inc,77.3,-5.8,10.9,3830.0,103.683,68.0,112.8088226,7050.44,12/10/20,9066101,3.5,68.7472,273783000.0,12/1/20,10/1/20,57005,99.71018332,0.25,6.897872332,0.094147847,56 - 60,Priced Above Range,4,8,9,1,180.42,165.32,1,2021-12-10,365,success,137.155287058734,112.937333387695
5,ABR,Arbor Realty Trust Inc,32.3,42.4,2.2,135.874,14.9496,20.0,2.5,298.99,4/7/04,38923108,1.5,42.1671,72326500.0,4/1/04,4/1/04,48905,101.0072146,2.0,5.662633096,0.320170758,19 - 21,Priced Within Range,3,3,6,1,4.61,-76.97,0,2005-04-07,365,success,-80.787516057703,3.16454194311383
6,ACAD,ACADIA Pharmaceuticals Inc,9.6,-34.6,-32.9,35.0,16.8457,7.0,-4.285714149,117.92,5/27/04,4225108,-0.7,99.0587,160407000.0,5/1/04,4/1/04,48905,100.9690499,2.0,5.649825354,0.585106383,14-Dec,Priced Below Range,0,21,29,0,8.65,23.57,1,2005-05-27,365,success,17.440399969462,-4.85436253685069
7,ACET,Adicet Bio Inc,-45.6,-637.1,-18.2,97.7505,28.0463,15.0,12.53333378,420.695,1/26/18,7002108,-1.6,97.4117,41742200.0,1/1/18,1/1/18,56195,100.4818485,2.0,4.134060502,0.544774545,14 - 16,Priced Within Range,0,21,29,1,59.43,296.2,1,2019-01-28,367,success,303.44397896614,11.3492141357277
8,ACI,Albertsons Cos Inc,3.1,2.2,6.0,800.0,479.027,16.0,-3.4375,7664.43,6/26/20,13091103,7.4,83.2054,445204000.0,6/1/20,4/1/20,52394,96.38894556,0.25,10.71621054,0.547204693,18 - 20,Priced Below Range,0,10,53,0,13.83,-13.57,0,2021-06-28,367,success,-55.358609844422,-1.01480949367879
9,ACLS,Axcelis Technologies Inc,39.5,14.8,20.2,375.1,97.05,22.0,8.806818008,2135.1,7/11/00,54540208,4.4,92.5295,30394700.0,7/1/00,7/1/00,46624,100.5207065,6.0,4.063214054,0.232018561,20 - 22,Priced Within Range,1,4,54,1,51.96,136.18,1,2001-07-11,365,success,155.229482405565,8.45035699379423
10,ACM,AECOM,0.7,1.3,2.5,808.45,97.6077,20.0,5.5,1952.15,5/10/07,00766T100,5.0,90.9836,127058000.0,5/1/07,4/1/07,51705,101.897221,6.25,4.507395483,0.611071867,18 - 20,Priced Within Range,8,32,55,1,28.55,42.73,1,2008-05-09,365,success,49.3610436631647,6.89562770987823
